"1","6,6","31,32"
"2","6","31"
"3","6,6","31,32"
"4","6,6","32,32"
"5","6","31"
"6","6,6","31,32"
"7","6","31"
"8","6","32"
"9","6","32"
"10","6","32"
"11","6","32"
"12","6","32"
"13","6","32"
"14","4,4","6,11"
"15","4,4","6,11"
"16","4,4","6,11"
"17","4,4","6,11"
"18","4","6"
"19","4","6"
"20","4","6"
"21","4","6"
"22","4","6"
"23","4,4","6,11"
"24","4","6"
"25","4,4","6,11"
"26","4","6"
"27","4","6"
"28","4,4","6,11"
"29","2","4"
"30","2,4","4,11"
"31","2,3","4,16"
"32","2","4"
"33","2","4"
"34","2,6","4,30"
"35","2,6","4,30"
"36","2,6","4,30"
"37","2,6","4,30"
"38","2,6","4,30"
"39","2,6","4,30"
"40","2","4"
"41","6","35"
"42","6","28"
"43","6","24,35"
"44","1,6","45,28"
"45","6","25"
"46","6","25"
"47","7","41"
"48","7","39"
"49","7","39"
"50","7","39"
"51","7","39"
"52","7","41"
"53","1,7","50,41"
"54","7","41"
"55","7","44"
"56","7","41"
"57","7","44"
"58","7","44"
"59","7","44"
"60","7","44"
"61","1,7","50,44"
"62","7","41"
"63","8","51"
"64","8","51"
"65","8","55"
"66","6,6,6","22,27,28"
"67","8","51"
"68","3","18"
"69","3","16"
"70","3","19"
"71","3","20"
"72","3","20"
"73","3","16"
"74","3","16"
"75","3","17"
"76","3","20"
"77","3","20"
"78","3,6","20,32"
"79","3,6","20,32"
"80","3","20"
"81","3","20"
"82","3","18"
"83","3","18"
"84","3","18"
"85","3","18"
"86","3","20"
"87","3","18"
"88","3","18"
"89","3","18"
"90","3","18"
"91","3","18"
"92","3","18"
"93","3","18"
"94","3","18"
"95","3","18"
"96","3","18"
"97","3","18"
"98","5","60"
"99","5","60"
"100","2,6","4,30"
"101","2,6","4,30"
"102","2,2","1,4"
"103","2,6","1,31"
"104","2","1"
"105","4,4","6,11"
"106","4,4","6,11"
"107","4","12"
"108","4,4","6,7"
"109","4,4","6,11"
"110","4","6"
"111","4","6"
"112","4","6"
"113","4,4","6,13"
"114","4","12"
"115","4","6"
"116","4","6"
"117","4","8"
"118","4,4","6,9"
"119","4","12"
"120","6,7","33,44"
"121","4","12"
"122","6,6,7,7,8","27,28,40,44,51"
"123","2,6","1,26"
"124","6,6,6","23,28,33"
"125","6","23"
"126","2","1"
"127","2,6,6","1,28,32"
"128","6","28"
"129","6","32"
"130","2","1"
"131","6","34"
"132","6","35"
"133","6,7","28,39"
"134","6","32"
"135","6,6,6","22,28,39"
"136","6,7","28,40"
"137","6,6","23,28"
"138","7,7","40,44"
"139","7,7,7","40,43,44"
"140","7,7,7,7","39,41,43,44"
"141","4,7","12,39"
"142","1,7","46,40"
"143","2,7","1,39"
"144","7,7","39,40"
"145","7,7,7,7","40,41,43,44"
"146","7","41"
"147","7","38,38,41,43,44"
"148","7,7","39,41"
"149","6","32"
"150","2,7","1,39"
"151","7,7","39,44"
"152","7,7","39,44"
"153","7,7","39,40,44"
"154","7,7,7,7,7,7","39,40,41,42,43,44"
"155","7,7,7","38,41,44"
"156","7,7","40,44"
"157","8","53,56"
"158","8","51"
"159","8","51,53,56"
"160","8","51"
"161","8","51"
"162","8","51"
"163","8","51"
"164","8","51"
"165","8","51"
"166","3","20"
"167","3","20"
"168","3","18"
"169","3","18"
"170","3","18"
"171","3","18"
"172","3","20"
"173","2,2","1,2"
"174","2,2,8","1,3,51"
"175","2","1"
"176","2,6,6","1,27,28"
"177","5","60"
"178","2,4","1,12"
"179","2,7","1,44"
"180","6","28"
"181","2,4","1,12"
"182","2,4","1,12"
"183","2,4","1,12"
"184","6,6,6","23,28,33"
"185","2","1"
"186","2,6","1,28"
"187","6,6","27,28"
"188","2,4","1,12"
"189","2,4","1,12"
"190","2,4","1,12"
"191","2,4","1,12"
"192","6,6","27,28"
"193","6,6","27,28"
"194","2,4","1,12"
"195","2,4","1,12"
"196","2,4","1,12"
"197","2,4","2,8"
"198","2,4","1,12"
"199","2,3","1,14"
"200","2,4","1,12"
"201","2,4","1,12"
"202","2,4","1,12"
"203","2,4","1,12"
"204","2,2,2,6,6","1,2,4,23,33"
"205","4,4","6,7"
"206","4","6"
"207","4","6"
"208","4","6"
"209","4,4","6,11"
"210","4,4","6,7"
"211","4,4","6,13"
"212","4","6"
"213","4","6"
"214","4","6"
"215","4","6"
"216","6,7,7","27,40,42"
"217","6","34"
"218","2,6,6","3,27,28"
"219","6,6,7","27,28,44"
"220","6,6,7","27,28,44"
"221","7,7,7,7,7","40,41,42,43,44"
"222","1,7,7,7","46,40,41,44"
"223","1,7,7,7","46,40,41,44"
"224","1,7,7,7","46,40,41,44"
"225","7,7","39,44"
"226","7,7,7","40,43,44"
"227","8","51"
"228","8,8,8","51,52,57"
"229","7,8,8","43,52,57"
"230","3","18"
"231","3","18"
"232","3","18"
"233","3","18"
"234","3","18"
"235","3","18"
"236","3","20"
"237","3","18"
"238","5","60"
"239","5","60"
"240","2,7","1,40"
"241","2,2,7,7,7","1,5,40,43,44"
"242","2,3","1,14"
"243","2,2,2","1,2,4"
"244","2,2,2","1,2,4"
"245","2,6","4,32"
"246","4","6"
"247","4","6"
"248","4","6"
"249","4,4","6,11"
"250","4,4","6,11"
"251","4,4","6,11"
"252","4","6"
"253","4,4","6,11"
"254","4","6"
"255","4","6"
"256","4","6"
"257","4,4","6,8"
"258","4","6"
"259","2,6","4,30"
"260","6","23"
"261","6","23"
"262","4,6","11,28"
"263","6","23"
"264","6","23"
"265","6","23"
"266","2,6,6","1,27,28"
"267","6,7,7","28,39,42"
"268","6","23"
"269","7,7","41,44"
"270","7,7","41,44"
"271","7,7,7","41,43,44"
"272","7,7,7,7","37,41,43,44"
"273","7,7,7","38,43,44"
"274","7,7,7,8","40,41,44,52"
"275","7,7,8","41,44,52"
"276","3","14"
"277","3","18"
"278","3","18"
"279","3","18"
"280","3","18"
"281","3","18"
"282","3","18"
"283","3","18"
"284","3","14"
"285","3","20"
"286","3","14"
"287","3","16"
"288","3","20"
"289","3","20"
"290","3","18"
"291","3","14"
"292","3","16"
"293","3","14"
"294","3","18"
"295","3","18"
"296","3","14"
"297","3","14"
"298","3","18"
"299","3","18"
"300","3","20"
"301","3,6","20,32"
"302","3,6","20,32"
"303","3","20"
"304","3","14"
"305","3","14"
"306","3","14"
"307","3","14"
"308","5","60"
"309","2,2","1,3"
"310","2,2","1,3"
"311","2,3","1,14"
"312","2","1"
"313","2,2,6","1,3,27"
"314","2,3","1,14"
"315","2,2","1,3"
"316","2,3","1,14"
"317","2,8","1,52"
"318","2","1"
"319","2,2,2","1,2,4"
"320","2","1"
"321","2,2","1,4"
"322","2,6","1,32"
"323","2,6","1,32"
"324","2,6","1,32"
"325","2,6","1,32"
"326","2,2","1,3"
"327","2,2","1,2"
"328","4,4","6,11"
"329","4,4","6,11"
"330","4,4","6,11"
"331","4,4","6,11"
"332","4,4","6,11"
"333","4,4","6,11"
"334","4,4","6,9"
"335","4","6"
"336","4,4","6,11"
"337","4","6"
"338","4,4","6,11"
"339","4","8"
"340","4,4","6,7"
"341","4","6"
"342","4","6"
"343","4","6"
"344","4","6"
"345","4","6"
"346","4","6"
"347","4","6"
"348","4","6"
"349","4","6"
"350","4","6"
