1,Acapulco ,118
2,Aguascalientes,148
3,Barrancas del Cobre,177
4,Campeche,165
5,Cancun,117
6,Chetumal,172
7,Chiapas,5
8,Chichen-Itza,322
9,Chihuahua,146
10,Ciudad de Mexico,9
11,Coahuila,7
12,Colima,167
13,Costa Esmeralda,304
14,Costalegre,357
15,Cozumel,125
16,Cuernavaca,178
17,Durango,161
18,Encenada,184
19,Estado de Mexico,15
20,Guadalajara,134
21,Guanajuato,155
22,Hidalgo,13
23,Holbox,276
24,Huatulco,173
25,Isla Mujeres,130
26,Ixtapa Ziguatanejo,124
27,La Paz,129
28,Loreto,37
29,Los Cabos,119
30,Manzanillo,126
31,Mazatlan,121
32,Merida,141
33,Michoacan,16
34,Monterrey,17
35,Morelia,147
36,Nuevo Leon,19
37,Nuevo Vallarta,123
38,Palenque,157
39,Playa Del Carmen,281
40,Puebla,140
41,Puerot Escondido,128
42,Puerto Peñasco,289
43,Puerto Vallarta ,120
44,Queretaro,144
45,Riviera Maya,116
46,Riviera Nayarit,262
47,San Cristobal de las Casas,39
48,San luis Potosi,145
49,San Miguel de Allende,160
50,Sonora,26
51,Tabasco,27
52,Tamaulipas,28
53,Taxco,55
54,Teotihuacan,358
55,Tepoztlan,78
56,Tijuana,136
57,Tlaxcala ,171
58,Todos Santos,36
59,Tulum,277
60,Valle de Bravo,67
61,Veracruz,122
62,Xalapa,156
63,Yucatan,31
64,Zacatecas,153
