1,Para Admirar,2,1
2,Compras,2,1
3,Arquitectura,2,1
4,Cultura,2,1
5,Maravillas,2,1
6,Restaurantes,4,1
7,Cafe y Pastel,4,1
8,Mercados,4,1
9,Hoteles,4,1
10,Comida Rapida,4,1
11,Comida Regional,4,1
12,Vinos,4,1
13,Gourmet,4,1
14,Precolombino,3,1
15,La Conquista,3,1
16,Colonial,3,1
17,Independencia,3,1
18,Siglo XIX,3,1
19,Revolucion,3,1
20,A la fecha,3,1
21,Museos de sitio,3,1
22,Parques,6,1
23,Vida Nocturna,6,1
24,Eventos,6,1
25,Teatros,6,1
26,Espectaculos,6,1
27,Actividades de Descanso,6,1
28,Diversion Familiar,6,1
29,Musica,6,1
30,Festivales,6,1
31,Arte,6,1
32,Museos,6,1
33,Compras,6,1
34,Golf,6,1
35,Deportes,6,1
36,Zoologicos,6,1
37,Parques Nacionales,7,1
38,Parques Locales,7,1
39,Actividades al Aire Libre,7,1
40,Actividades Maritimas,7,1
41,Explora la Naturaleza,7,1
42,Pesca,7,1
43,Vida Salvaje,7,1
44,Ecoturismo,7,1
45,Tours,1,1
46,Islas,1,1
47,Patrimonio de la Humanidad,1,1
48,Maravillas Nacionales,1,1
49,Tours de Exploracion,1,1
50,Tesoros Escondidos,1,1
51,Deportes Extremos,8,1
52,Buceo,8,1
53,Paracaidismo,8,1
54,Rappel,8,1
55,Escalada,8,1
56,Parapente,8,1
57,Snorkel,8,1
58,Descenso en balsa,8,1
59,Globos Aerostaticos,8,1
60,Pueblo Magico,5,1
